model - 1577686734,1577686740.622,0.66,0.2137,0.71,0.1981
model - 1577686734,1577686740.653,0.71,0.2021,0.64,0.2138
model - 1577686734,1577686740.688,0.68,0.1976,0.61,0.2302
model - 1577686734,1577686740.715,0.71,0.1985,0.69,0.2103
model - 1577686734,1577686740.74,0.64,0.208,0.7,0.207
model - 1577686734,1577686740.764,0.64,0.2365,0.69,0.1868
model - 1577686734,1577686740.79,0.7,0.2056,0.77,0.174
model - 1577686734,1577686740.816,0.62,0.2281,0.67,0.2182
model - 1577686734,1577686740.841,0.54,0.2639,0.76,0.1749
model - 1577686734,1577686740.858,0.67,0.2049,0.61,0.2051
model - 1577686734,1577686740.886,0.69,0.1912,0.62,0.2065
model - 1577686734,1577686740.912,0.8,0.1781,0.68,0.2064
model - 1577686734,1577686740.937,0.55,0.2515,0.61,0.2322
model - 1577686734,1577686740.962,0.72,0.1917,0.59,0.235
model - 1577686734,1577686740.988,0.65,0.2161,0.72,0.1905
model - 1577686734,1577686741.012,0.55,0.2621,0.65,0.2269
model - 1577686734,1577686741.036,0.73,0.1829,0.71,0.2028
model - 1577686734,1577686741.062,0.66,0.2236,0.76,0.1825
model - 1577686734,1577686741.088,0.7,0.202,0.77,0.1953
model - 1577686734,1577686741.114,0.73,0.1985,0.63,0.2041
model - 1577686734,1577686741.138,0.62,0.2209,0.64,0.2121
model - 1577686734,1577686741.167,0.48,0.2656,0.71,0.1928
model - 1577686734,1577686741.206,0.75,0.1747,0.73,0.1772
model - 1577686734,1577686741.243,0.63,0.2132,0.68,0.2168
model - 1577686734,1577686741.269,0.69,0.203,0.65,0.2225
model - 1577686734,1577686741.295,0.7,0.2082,0.73,0.19
model - 1577686734,1577686741.32,0.71,0.2013,0.69,0.2046
model - 1577686734,1577686741.347,0.71,0.2075,0.68,0.2032
model - 1577686734,1577686741.371,0.7,0.1949,0.69,0.1946
model - 1577686734,1577686741.396,0.75,0.1842,0.72,0.1834
model - 1577686734,1577686741.423,0.6,0.2439,0.6,0.238
model - 1577686734,1577686741.45,0.66,0.2021,0.69,0.2054
model - 1577686734,1577686741.475,0.73,0.1954,0.69,0.2021
model - 1577686734,1577686741.499,0.69,0.1917,0.7,0.1852
model - 1577686734,1577686741.524,0.7,0.1912,0.63,0.2065
model - 1577686734,1577686741.552,0.71,0.1947,0.71,0.1955
model - 1577686734,1577686741.578,0.75,0.1911,0.67,0.2163
model - 1577686734,1577686741.602,0.68,0.2178,0.7,0.2051
model - 1577686734,1577686741.626,0.71,0.2041,0.59,0.243
model - 1577686734,1577686741.653,0.7,0.2074,0.57,0.2442
model - 1577686734,1577686741.687,0.59,0.2479,0.72,0.1822
model - 1577686734,1577686741.715,0.62,0.2269,0.75,0.1778
model - 1577686734,1577686741.74,0.72,0.1886,0.63,0.2288
model - 1577686734,1577686741.767,0.68,0.187,0.8,0.1583
model - 1577686734,1577686741.792,0.76,0.1963,0.75,0.177
model - 1577686734,1577686741.816,0.67,0.2109,0.72,0.1835
model - 1577686734,1577686741.84,0.76,0.1759,0.71,0.1987
model - 1577686734,1577686741.868,0.76,0.1848,0.71,0.1946
model - 1577686734,1577686741.894,0.7,0.1973,0.71,0.1981
